shopelectronica.ru 5.255.231.101 - - [19/Jul/2021:00:08:28 +0300] "GET /electronics/web/img/tv/img/tv/Sony%20KDL-32WD756.jpg HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 261407 149999:66666
www.shopelectronica.ru 66.249.66.7 - - [19/Jul/2021:00:13:10 +0300] "GET /electronics/web/index.php?r=electronics%2Fproduct-details&audio&4 HTTP/1.1" 200 159597 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 66200 33333:23333
www.shopelectronica.ru 66.249.66.7 - - [19/Jul/2021:00:15:02 +0300] "GET /electronics/web/index.php?r=electronics%2Fproduct-details&audio&4 HTTP/1.1" 200 159597 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.90 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 187311 29999:26666
shopelectronica.ru 213.180.203.172 - - [19/Jul/2021:00:55:53 +0300] "GET /electronics/web/index.php?r=electronics%2Fshop&notebook&notebook_lenovo&notebook_lenovo_1 HTTP/1.1" 200 146608 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 133208 43333:56666
www.shopelectronica.ru 66.249.66.7 - - [19/Jul/2021:00:56:39 +0300] "GET /electronics/web/index.php?r=electronics%2Fproduct-details&tv&4 HTTP/1.1" 200 160385 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.90 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 62074 23333:29999
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:34 +0300] "GET / HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 73831 33333:29999
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:35 +0300] "GET /< HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 76719 43333:23333
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:35 +0300] "GET /index.php?r=electronics%2Fcart HTTP/1.1" 200 130913 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 59593 16666:33333
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:36 +0300] "GET /index.php?r=electronics%2Fcheckout HTTP/1.1" 200 154723 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 45263 26667:13333
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:36 +0300] "GET /index.php?r=electronics%2Fcontact HTTP/1.1" 200 129537 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 60725 26666:26666
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:36 +0300] "GET /index.php?r=user%2Fdefault%2Fmy-account HTTP/1.1" 302 - "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 44028 23333:16666
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:37 +0300] "GET /index.php?r=site%2Flogin HTTP/1.1" 200 51780 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 39707 30000:10000
shopelectronica.ru 46.101.80.192 - - [19/Jul/2021:01:06:37 +0300] "GET /index.php?r=electronics%2Fwishlist HTTP/1.1" 200 98637 "-" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" 47715 23333:19999
www.shopelectronica.ru 66.249.66.9 - - [19/Jul/2021:01:38:48 +0300] "GET /electronics/web/index.php?r=electronics%2Fproduct-details&tv&6 HTTP/1.1" 200 160948 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.90 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 64674 19999:36666
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:01 +0300] "GET / HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 99954 29999:33333
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:01 +0300] "GET /blog/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 161524 33333:53333
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:02 +0300] "GET /wp/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 74670 29999:36666
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:02 +0300] "GET /wordpress/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 37274 20000:10000
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:02 +0300] "GET /new/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 35854 20000:10000
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:03 +0300] "GET /old/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 64452 36666:19999
www.shopelectronica.ru 34.121.79.58 - - [19/Jul/2021:01:52:03 +0300] "GET /test/ HTTP/1.1" 200 1275056 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 79243 39999:26666
